dataset_id,数据集编号,english_file,英文文件,chinese_file,中文文件,rows,行数,columns,列数,source_paths,来源路径
2007-20024__Sheet16__5091a650,2007-20024__Sheet16__5091a650,data_processed/english/2007-20024__Sheet16__5091a650_en.csv,data_processed/english/2007-20024__Sheet16__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet16__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet16__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet17__5091a650,2007-20024__Sheet17__5091a650,data_processed/english/2007-20024__Sheet17__5091a650_en.csv,data_processed/english/2007-20024__Sheet17__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet17__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet17__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet18__5091a650,2007-20024__Sheet18__5091a650,data_processed/english/2007-20024__Sheet18__5091a650_en.csv,data_processed/english/2007-20024__Sheet18__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet18__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet18__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet1__5091a650,2007-20024__Sheet1__5091a650,data_processed/english/2007-20024__Sheet1__5091a650_en.csv,data_processed/english/2007-20024__Sheet1__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet1__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet1__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet2__5091a650,2007-20024__Sheet2__5091a650,data_processed/english/2007-20024__Sheet2__5091a650_en.csv,data_processed/english/2007-20024__Sheet2__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet2__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet2__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet3__5091a650,2007-20024__Sheet3__5091a650,data_processed/english/2007-20024__Sheet3__5091a650_en.csv,data_processed/english/2007-20024__Sheet3__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet3__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet3__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet4__5091a650,2007-20024__Sheet4__5091a650,data_processed/english/2007-20024__Sheet4__5091a650_en.csv,data_processed/english/2007-20024__Sheet4__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet4__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet4__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet5__5091a650,2007-20024__Sheet5__5091a650,data_processed/english/2007-20024__Sheet5__5091a650_en.csv,data_processed/english/2007-20024__Sheet5__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet5__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet5__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet6__5091a650,2007-20024__Sheet6__5091a650,data_processed/english/2007-20024__Sheet6__5091a650_en.csv,data_processed/english/2007-20024__Sheet6__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet6__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet6__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet7__5091a650,2007-20024__Sheet7__5091a650,data_processed/english/2007-20024__Sheet7__5091a650_en.csv,data_processed/english/2007-20024__Sheet7__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet7__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet7__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet8__5091a650,2007-20024__Sheet8__5091a650,data_processed/english/2007-20024__Sheet8__5091a650_en.csv,data_processed/english/2007-20024__Sheet8__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet8__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet8__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2007-20024__Sheet9__5091a650,2007-20024__Sheet9__5091a650,data_processed/english/2007-20024__Sheet9__5091a650_en.csv,data_processed/english/2007-20024__Sheet9__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet9__5091a650_cn.csv,data_processed/chinese/2007-20024__Sheet9__5091a650_cn.csv,31,31,2,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx
2010-2023_1__dataset__07541213,2010-2023_1__dataset__07541213,data_processed/english/2010-2023_1__dataset__07541213_en.csv,data_processed/english/2010-2023_1__dataset__07541213_en.csv,data_processed/chinese/2010-2023_1__dataset__07541213_cn.csv,data_processed/chinese/2010-2023_1__dataset__07541213_cn.csv,434,434,3,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算支出2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算支出2010-2023.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算支出2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算支出2010-2023.xls
2010-2023_1__dataset__3ffd5fc2,2010-2023_1__dataset__3ffd5fc2,data_processed/english/2010-2023_1__dataset__3ffd5fc2_en.csv,data_processed/english/2010-2023_1__dataset__3ffd5fc2_en.csv,data_processed/chinese/2010-2023_1__dataset__3ffd5fc2_cn.csv,data_processed/chinese/2010-2023_1__dataset__3ffd5fc2_cn.csv,434,434,3,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算收入2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算收入2010-2023.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算收入2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算收入2010-2023.xls
2010-2023_1__dataset__c2e71f5c,2010-2023_1__dataset__c2e71f5c,data_processed/english/2010-2023_1__dataset__c2e71f5c_en.csv,data_processed/english/2010-2023_1__dataset__c2e71f5c_en.csv,data_processed/chinese/2010-2023_1__dataset__c2e71f5c_cn.csv,data_processed/chinese/2010-2023_1__dataset__c2e71f5c_cn.csv,434,434,3,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/国内生产总值2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/国内生产总值2010-2023.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/国内生产总值2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/国内生产总值2010-2023.xls
2_2000-2023_1__dataset__7f72ed7d,2_2000-2023_1__dataset__7f72ed7d,data_processed/english/2_2000-2023_1__dataset__7f72ed7d_en.csv,data_processed/english/2_2000-2023_1__dataset__7f72ed7d_en.csv,data_processed/chinese/2_2000-2023_1__dataset__7f72ed7d_cn.csv,data_processed/chinese/2_2000-2023_1__dataset__7f72ed7d_cn.csv,744,744,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(2)2000-2023年财政支持力度(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(2)2000-2023年财政支持力度.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(2)2000-2023年财政支持力度(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(2)2000-2023年财政支持力度.xls
31_0_1_1__GDP__d3d8a491,31_0_1_1__GDP__d3d8a491,data_processed/english/31_0_1_1__GDP__d3d8a491_en.csv,data_processed/english/31_0_1_1__GDP__d3d8a491_en.csv,data_processed/chinese/31_0_1_1__GDP__d3d8a491_cn.csv,data_processed/chinese/31_0_1_1__GDP__d3d8a491_cn.csv,32,32,25,25,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx
31_0_1_1__dataset__d3d8a491,31_0_1_1__dataset__d3d8a491,data_processed/english/31_0_1_1__dataset__d3d8a491_en.csv,data_processed/english/31_0_1_1__dataset__d3d8a491_en.csv,data_processed/chinese/31_0_1_1__dataset__d3d8a491_cn.csv,data_processed/chinese/31_0_1_1__dataset__d3d8a491_cn.csv,97,97,64,64,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx
31_0_1_1__over__d3d8a491,31_0_1_1__over__d3d8a491,data_processed/english/31_0_1_1__over__d3d8a491_en.csv,data_processed/english/31_0_1_1__over__d3d8a491_en.csv,data_processed/chinese/31_0_1_1__over__d3d8a491_cn.csv,data_processed/chinese/31_0_1_1__over__d3d8a491_cn.csv,125,125,32,32,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx
3_2000-2023_1__dataset__35774afa,3_2000-2023_1__dataset__35774afa,data_processed/english/3_2000-2023_1__dataset__35774afa_en.csv,data_processed/english/3_2000-2023_1__dataset__35774afa_en.csv,data_processed/chinese/3_2000-2023_1__dataset__35774afa_cn.csv,data_processed/chinese/3_2000-2023_1__dataset__35774afa_cn.csv,744,744,5,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(3)2000-2023年经济发展水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(3)2000-2023年经济发展水平(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(3)2000-2023年经济发展水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(3)2000-2023年经济发展水平(1).xls
4_2000-2023_1__Sheet2__80f67c8d,4_2000-2023_1__Sheet2__80f67c8d,data_processed/english/4_2000-2023_1__Sheet2__80f67c8d_en.csv,data_processed/english/4_2000-2023_1__Sheet2__80f67c8d_en.csv,data_processed/chinese/4_2000-2023_1__Sheet2__80f67c8d_cn.csv,data_processed/chinese/4_2000-2023_1__Sheet2__80f67c8d_cn.csv,744,744,9,9,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(4)2000-2023年社会消费水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(4)2000-2023年社会消费水平(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(4)2000-2023年社会消费水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(4)2000-2023年社会消费水平(1).xls
5_2000-2023_1__dataset__5b3cb025,5_2000-2023_1__dataset__5b3cb025,data_processed/english/5_2000-2023_1__dataset__5b3cb025_en.csv,data_processed/english/5_2000-2023_1__dataset__5b3cb025_en.csv,data_processed/chinese/5_2000-2023_1__dataset__5b3cb025_cn.csv,data_processed/chinese/5_2000-2023_1__dataset__5b3cb025_cn.csv,744,744,8,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(5)2000-2023年城镇化水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(5)2000-2023年城镇化水平(1).xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(5)2000-2023年城镇化水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(5)2000-2023年城镇化水平(1).xls
6_0__dataset__294cb3da,6_0__dataset__294cb3da,data_processed/english/6_0__dataset__294cb3da_en.csv,data_processed/english/6_0__dataset__294cb3da_en.csv,data_processed/chinese/6_0__dataset__294cb3da_cn.csv,data_processed/chinese/6_0__dataset__294cb3da_cn.csv,1085,1085,3059,3059,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/中国省级数据库6.0版.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/中国省级数据库6.0版.xlsx
6_7_2000-2023_1__dataset__7b74f65d,6_7_2000-2023_1__dataset__7b74f65d,data_processed/english/6_7_2000-2023_1__dataset__7b74f65d_en.csv,data_processed/english/6_7_2000-2023_1__dataset__7b74f65d_en.csv,data_processed/chinese/6_7_2000-2023_1__dataset__7b74f65d_cn.csv,data_processed/chinese/6_7_2000-2023_1__dataset__7b74f65d_cn.csv,744,744,13,13,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(6)(7)2000-2023年产业结构(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(6)(7)2000-2023年产业结构.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(6)(7)2000-2023年产业结构(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(6)(7)2000-2023年产业结构.xls
8_2003-2023_1__dataset__d275b084,8_2003-2023_1__dataset__d275b084,data_processed/english/8_2003-2023_1__dataset__d275b084_en.csv,data_processed/english/8_2003-2023_1__dataset__d275b084_en.csv,data_processed/chinese/8_2003-2023_1__dataset__d275b084_cn.csv,data_processed/chinese/8_2003-2023_1__dataset__d275b084_cn.csv,28,28,32,32,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(8)2003-2023年金融发展水平(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(8)2003-2023年金融发展水平.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(8)2003-2023年金融发展水平(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(8)2003-2023年金融发展水平.xls
9_2000-2023_1__dataset__d2a323e0,9_2000-2023_1__dataset__d2a323e0,data_processed/english/9_2000-2023_1__dataset__d2a323e0_en.csv,data_processed/english/9_2000-2023_1__dataset__d2a323e0_en.csv,data_processed/chinese/9_2000-2023_1__dataset__d2a323e0_cn.csv,data_processed/chinese/9_2000-2023_1__dataset__d2a323e0_cn.csv,744,744,8,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(9)2000-2023年城乡居民收入差距(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(9)2000-2023年城乡居民收入差距.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(9)2000-2023年城乡居民收入差距(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(9)2000-2023年城乡居民收入差距.xls
CRITIC_Spearman_EWM__Sheet1__64339205,CRITIC_Spearman_EWM__Sheet1__64339205,data_processed/english/CRITIC_Spearman_EWM__Sheet1__64339205_en.csv,data_processed/english/CRITIC_Spearman_EWM__Sheet1__64339205_en.csv,data_processed/chinese/CRITIC_Spearman_EWM__Sheet1__64339205_cn.csv,data_processed/chinese/CRITIC_Spearman_EWM__Sheet1__64339205_cn.csv,360,360,8,8,source_snapshots/DEI-CEI/碳排放综合指数_CRITIC_Spearman_EWM.xlsx,source_snapshots/DEI-CEI/碳排放综合指数_CRITIC_Spearman_EWM.xlsx
CRITIC_Spearman_EWM__Sheet1__ceaa1e54,CRITIC_Spearman_EWM__Sheet1__ceaa1e54,data_processed/english/CRITIC_Spearman_EWM__Sheet1__ceaa1e54_en.csv,data_processed/english/CRITIC_Spearman_EWM__Sheet1__ceaa1e54_en.csv,data_processed/chinese/CRITIC_Spearman_EWM__Sheet1__ceaa1e54_cn.csv,data_processed/chinese/CRITIC_Spearman_EWM__Sheet1__ceaa1e54_cn.csv,360,360,17,17,source_snapshots/DEI-CEI/数字经济综合指数_CRITIC_Spearman_EWM.xlsx,source_snapshots/DEI-CEI/数字经济综合指数_CRITIC_Spearman_EWM.xlsx
DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328,DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328,data_processed/english/DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328_en.csv,data_processed/english/DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328_en.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328_cn.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328_cn.csv,11,11,3,3,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx
DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328,DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328,data_processed/english/DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328_en.csv,data_processed/english/DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328_en.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328_cn.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328_cn.csv,558,558,18,18,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx
DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328,DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328,data_processed/english/DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328_en.csv,data_processed/english/DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328_en.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328_cn.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328_cn.csv,1085,1085,14,14,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx
DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f,DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f_en.csv,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f_cn.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f_cn.csv,11,11,11,11,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx
DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f,DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f_en.csv,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f_cn.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f_cn.csv,11,11,3,3,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx
